TOP.5ba22be0.00002f51	START
TOP.5ba22ee9.00072601	user_options->hex_charset	0
TOP.5ba22ee9.00072601	user_options->hex_salt	0
TOP.5ba22ee9.00072601	user_options->hex_wordlist	0
TOP.5ba22ee9.00072601	user_options->increment	0
TOP.5ba22ee9.00072601	user_options->increment_max	256
TOP.5ba22ee9.00072601	user_options->increment_min	1
TOP.5ba22ee9.00072601	user_options->keep_guessing	0
TOP.5ba22ee9.00072601	user_options->kernel_accel	0
TOP.5ba22ee9.00072601	user_options->kernel_loops	0
TOP.5ba22ee9.00072601	user_options->keyspace	0
TOP.5ba22ee9.00072601	user_options->left	0
TOP.5ba22ee9.00072601	user_options->logfile_disable	0
TOP.5ba22ee9.00072601	user_options->loopback	0
TOP.5ba22ee9.00072601	user_options->machine_readable	0
TOP.5ba22ee9.00072601	user_options->markov_classic	0
TOP.5ba22ee9.00072601	user_options->markov_disable	0
TOP.5ba22ee9.00072601	user_options->markov_threshold	256
TOP.5ba22ee9.00072601	user_options->nvidia_spin_damp	100
TOP.5ba22ee9.00072601	user_options->opencl_info	0
TOP.5ba22ee9.00072601	user_options->opencl_vector_width	0
TOP.5ba22ee9.00072601	user_options->optimized_kernel_enable	0
TOP.5ba22ee9.00072601	user_options->outfile_autohex	1
TOP.5ba22ee9.00072601	user_options->outfile_check_timer	5
TOP.5ba22ee9.00072601	user_options->outfile_format	3
TOP.5ba22ee9.00072601	user_options->wordlist_autohex_disable	0
TOP.5ba22ee9.00072601	user_options->potfile_disable	0
TOP.5ba22ee9.00072601	user_options->progress_only	0
TOP.5ba22ee9.00072601	user_options->quiet	0
TOP.5ba22ee9.00072601	user_options->remove	0
TOP.5ba22ee9.00072601	user_options->remove_timer	60
TOP.5ba22ee9.00072601	user_options->restore	0
TOP.5ba22ee9.00072601	user_options->restore_disable	0
TOP.5ba22ee9.00072601	user_options->restore_timer	60
TOP.5ba22ee9.00072601	user_options->rp_files_cnt	0
TOP.5ba22ee9.00072601	user_options->rp_gen	0
TOP.5ba22ee9.00072601	user_options->rp_gen_func_max	4
TOP.5ba22ee9.00072601	user_options->rp_gen_func_min	1
TOP.5ba22ee9.00072601	user_options->rp_gen_seed	0
TOP.5ba22ee9.00072601	user_options->runtime	0
TOP.5ba22ee9.00072601	user_options->scrypt_tmto	0
TOP.5ba22ee9.00072601	user_options->segment_size	33554432
TOP.5ba22ee9.00072601	user_options->self_test_disable	0
TOP.5ba22ee9.00072601	user_options->show	0
TOP.5ba22ee9.00072601	user_options->speed_only	0
TOP.5ba22ee9.00072601	user_options->status	0
TOP.5ba22ee9.00072601	user_options->status_timer	10
TOP.5ba22ee9.00072601	user_options->stdout_flag	0
TOP.5ba22ee9.00072601	user_options->usage	0
TOP.5ba22ee9.00072601	user_options->username	0
TOP.5ba22ee9.00072601	user_options->veracrypt_pim	0
TOP.5ba22ee9.00072601	user_options->version	0
TOP.5ba22ee9.00072601	user_options->workload_profile	2
TOP.5ba22ee9.00072601	hashes->hashfile	C:\Other\WPA\hashcat\output.hccapx
TOP.5ba22ee9.00072601	hashes->hashlist_mode	4
TOP.5ba22ee9.00072601	hashes->hashlist_format	0
TOP.5ba22ee9.00072601	hashes->hashes_cnt	0
TOP.5ba22ee9.00072601	hashes->digests_cnt	1
TOP.5ba22ee9.00072601	hashes->digests_done	0
TOP.5ba22ee9.00072601	hashes->salts_cnt	1
TOP.5ba22ee9.00072601	hashes->salts_done	0
TOP.5ba22ee9.00072601	SUB.5ba22ef5.00053e60	START
TOP.5ba22ee9.00072601	SUB.5ba22ef5.00053e60	mask_ctx->mask	?l?l?l?l?l?l?d?d
TOP.5ba22ee9.00072601	SUB.5ba22ef5.00053e60	runtime_start	1537355509
TOP.5ba22ee9.00072601	SUB.5ba22ef5.00053e60	runtime_stop	1537355552
TOP.5ba22ee9.00072601	SUB.5ba22ef5.00053e60	status-after-work	8
TOP.5ba22ee9.00072601	SUB.5ba22ef5.00053e60	STOP
TOP.5ba22ee9.00072601	proc_start	1537355497
TOP.5ba22ee9.00072601	proc_stop	1537355553
TOP.5ba22ee9.00072601	STOP
TOP.5ba22f34.000a092e	START
TOP.5ba22f34.000a092e	user_options->separator	:
TOP.5ba22f34.000a092e	user_options->encoding_from	utf-8
TOP.5ba22f34.000a092e	user_options->encoding_to	utf-8
TOP.5ba22f34.000a092e	user_options->rule_buf_l	:
TOP.5ba22f34.000a092e	user_options->rule_buf_r	:
TOP.5ba22f34.000a092e	user_options->session	hashcat
TOP.5ba22f34.000a092e	user_options->limit	0
TOP.5ba22f34.000a092e	user_options->skip	0
TOP.5ba22f34.000a092e	user_options->attack_mode	3
TOP.5ba22f34.000a092e	user_options->benchmark	0
TOP.5ba22f34.000a092e	user_options->benchmark_all	0
TOP.5ba22f34.000a092e	user_options->bitmap_max	24
TOP.5ba22f34.000a092e	user_options->bitmap_min	16
TOP.5ba22f34.000a092e	user_options->debug_mode	0
TOP.5ba22f34.000a092e	user_options->example_hashes	0
TOP.5ba22f34.000a092e	user_options->force	0
